run_id,scene,position,code
run01,task2,1,PROC
run01,task2,2,HYPO
run01,task2,3,EVAL
run01,task2,4,EVAL
run01,task2,5,HYPO
run01,task2,6,HYPO
run01,task2,7,EVAL
run01,task2,8,EVAL
run01,task2,9,EVAL
run01,task2,10,EVAL
run01,task2,11,HYPO
run01,task2,12,HYPO
run01,task2,13,EVAL
run01,task2,14,HYPO
run01,task2,15,EVAL
run01,task2,16,EVAL
run01,task2,17,RUL
run01,task2,18,EVAL
run02,task2,1,HYPO
run02,task2,2,EVAL
run02,task2,3,EVAL
run02,task2,4,EVAL
run02,task2,5,HYPO
run02,task2,6,HYPO
run02,task2,7,EVAL
run02,task2,8,HYPO
run02,task2,9,EVAL
run02,task2,10,EVAL
run02,task2,11,EVAL
run02,task2,12,EVAL
run02,task2,13,RUL
run02,task2,14,RUL
run03,task2,1,HYPO
run03,task2,2,HYPO
run03,task2,3,HYPO
run03,task2,4,EVAL
run03,task2,5,EVAL
run03,task2,6,HYPO
run03,task2,7,HYPO
run03,task2,8,HYPO
run03,task2,9,EVAL
run03,task2,10,DEC
run03,task2,11,OTH
run03,task2,12,OTH
run03,task2,13,OTH
run03,task2,14,OTH
run04,task2,1,PROC
run04,task2,2,HYPO
run04,task2,3,HYPO
run04,task2,4,EVAL
run04,task2,5,EVAL
run04,task2,6,HYPO
run04,task2,7,EVAL
run04,task2,8,EVAL
run04,task2,9,DEC
run04,task2,10,EVAL
run04,task2,11,HYPO
run04,task2,12,HYPO
run04,task2,13,EVAL
run04,task2,14,EVAL
run04,task2,15,EVAL
run04,task2,16,EVAL
run04,task2,17,RUL
run05,task2,1,HYPO
run05,task2,2,EVAL
run05,task2,3,HYPO
run05,task2,4,EVAL
run05,task2,5,EVAL
run05,task2,6,PROC
run05,task2,7,HYPO
run05,task2,8,HYPO
run05,task2,9,META
run05,task2,10,EVAL
run05,task2,11,DEC
run05,task2,12,HYPO
run05,task2,13,EVAL
run05,task2,14,EVAL
run05,task2,15,HYPO
run05,task2,16,EVAL
run05,task2,17,EVAL
run05,task2,18,EVAL
run05,task2,19,META
run05,task2,20,RUL
run06,task2,1,HYPO
run06,task2,2,EVAL
run06,task2,3,EVAL
run06,task2,4,EVAL
run06,task2,5,EVAL
run06,task2,6,EVAL
run06,task2,7,EVAL
run06,task2,8,OTH
run06,task2,9,EVAL
run06,task2,10,HYPO
run06,task2,11,EVAL
run06,task2,12,EVAL
run06,task2,13,EVAL
run06,task2,14,OTH
run06,task2,15,EVAL
run06,task2,16,EVAL
run06,task2,17,HYPO
run06,task2,18,EVAL
run06,task2,19,EVAL
run07,task2,1,PROC
run07,task2,2,HYPO
run07,task2,3,EVAL
run07,task2,4,HYPO
run07,task2,5,EVAL
run07,task2,6,EVAL
run07,task2,7,EVAL
run07,task2,8,EVAL
run07,task2,9,EVAL
run07,task2,10,EVAL
run07,task2,11,EVAL
run07,task2,12,DEC
run07,task2,13,EVAL
run07,task2,14,EVAL
run07,task2,15,RUL
run08,task2,1,HYPO
run08,task2,2,DEC
run08,task2,3,PROC
run08,task2,4,HYPO
run08,task2,5,EVAL
run08,task2,6,EVAL
run08,task2,7,HYPO
run08,task2,8,EVAL
run08,task2,9,HYPO
run08,task2,10,RUL
run08,task2,11,EVAL
run08,task2,12,EVAL
run08,task2,13,EVAL
run08,task2,14,EVAL
run08,task2,15,DEC
run08,task2,16,EVAL
run08,task2,17,EVAL
run08,task2,18,EVAL
run09,task2,1,HYPO
run09,task2,2,EVAL
run09,task2,3,EVAL
run09,task2,4,EVAL
run09,task2,5,HYPO
run09,task2,6,EVAL
run09,task2,7,HYPO
run09,task2,8,RUL
run09,task2,9,EVAL
run09,task2,10,DEC
run09,task2,11,EVAL
run09,task2,12,EVAL
run09,task2,13,EVAL
run09,task2,14,EVAL
run10,task2,1,PROC
run10,task2,2,PROC
run10,task2,3,PROC
run10,task2,4,HYPO
run10,task2,5,HYPO
run10,task2,6,HYPO
run10,task2,7,EVAL
run10,task2,8,HYPO
run10,task2,9,EVAL
run10,task2,10,EVAL
run10,task2,11,EVAL
run10,task2,12,EVAL
run10,task2,13,EVAL
run11,task2,1,HYPO
run11,task2,2,EVAL
run11,task2,3,EVAL
run11,task2,4,RUL
run11,task2,5,EVAL
run11,task2,6,HYPO
run11,task2,7,EVAL
run11,task2,8,EVAL
run11,task2,9,EVAL
run11,task2,10,EVAL
run11,task2,11,EVAL
run11,task2,12,EVAL
run11,task2,13,EVAL
run11,task2,14,EVAL
run11,task2,15,EVAL
run11,task2,16,EVAL
run11,task2,17,EVAL
run11,task2,18,EVAL
run11,task2,19,EVAL
run11,task2,20,EVAL
run12,task2,1,PROC
run12,task2,2,EVAL
run12,task2,3,HYPO
run12,task2,4,HYPO
run12,task2,5,EVAL
run12,task2,6,HYPO
run12,task2,7,RUL
run12,task2,8,EVAL
run12,task2,9,HYPO
run12,task2,10,EVAL
run12,task2,11,HYPO
run12,task2,12,EVAL
run12,task2,13,DEC
run12,task2,14,EVAL
run12,task2,15,EVAL
run12,task2,16,EVAL
run12,task2,17,EVAL
run12,task2,18,EVAL
run12,task2,19,DEC
run13,task2,1,EVAL
run13,task2,2,HYPO
run13,task2,3,EVAL
run13,task2,4,EVAL
run13,task2,5,EVAL
run13,task2,6,EVAL
run13,task2,7,DEC
run13,task2,8,HYPO
run13,task2,9,EVAL
run13,task2,10,HYPO
run13,task2,11,EVAL
run13,task2,12,EVAL
run13,task2,13,HYPO
run13,task2,14,EVAL
run13,task2,15,EVAL
run13,task2,16,EVAL
run13,task2,17,OTH
run13,task2,18,OTH
run14,task2,1,EVAL
run14,task2,2,HYPO
run14,task2,3,EVAL
run14,task2,4,EVAL
run14,task2,5,EVAL
run14,task2,6,HYPO
run14,task2,7,HYPO
run14,task2,8,EVAL
run14,task2,9,HYPO
run14,task2,10,RUL
run14,task2,11,EVAL
run14,task2,12,HYPO
